"data...1.","bfp_output.res"
12220.1056599999,20.3612942733971
12235.9666670002,17.0700253619707
12237.9032180002,22.5794382266622
12238.908171,21.8518771890422
12243.0026850002,14.2624221300493
12307.8585649999,5.11227068905919
12334.8146870001,19.6502419770104
12536.1309139999,-16.0327149945488
12537.0906480001,-10.5872486029893
12538.048924,0.449222816591828
12573.0651850002,12.9508913305772
12574.0020829998,-5.38702214845125
12575.0051270002,16.1633443513156
12601.0029279999,91.1526478427595
12602.0445829998,54.5017064694348
12651.8701849999,1.11674814170328
12711.7517590001,-42.812737548732
12712.8089470002,-1.15217569068864
12925.044514,-14.5652337643078
13071.8259140002,-18.4488662540853
13303.018044,109.371571747911
13338.8544100001,-95.7179051902122
13340.104572,-60.3830116135587
13368.8945829999,-67.9550396046961
13747.010278,-99.1503536820492
15111.0354980002,13.5910254121454
15440.1281369999,13.5464275439917
15523.043414,-71.8660309707029
15994.8675230001,-144.181199570163
16165.1266089999,75.5364540387045
16585.1541550001,42.6870797686424
16588.0586689999,64.3977375529648
16639.9026270001,-101.829545876184
16909.1497450001,55.1820256362389
17291.1480089999,55.8373300402991
17294.147072,29.1397054649015
17652.1447220002,50.620868720679
17765.862338,-92.6350225393762
18029.1550810002,35.01838994635
