"data...1.","bfp_output.res"
12220.1056599999,19.0452211242364
12235.9666670002,16.7262675581132
12237.9032180002,13.0900049389129
12238.908171,28.0584420723853
12243.0026850002,12.9677420349853
12307.8585649999,10.4790783689377
12334.8146870001,29.1361324568734
12536.1309139999,-20.2289575710356
12537.0906480001,-14.4038741429613
12538.048924,-3.2893848543672
12573.0651850002,10.293581025333
12574.0020829998,5.25778159303172
12575.0051270002,27.9109163698859
12601.0029279999,89.6704757894167
12602.0445829998,53.0277175053743
12651.8701849999,10.1629157026055
12711.7517590001,-35.5060794240981
12712.8089470002,-3.75560862868224
12925.044514,-28.5259744103205
13071.8259140002,-23.78376038441
13303.018044,131.035551168393
13338.8544100001,-112.635764107021
13340.104572,-79.9139436641008
13368.8945829999,-76.8461381241177
13747.010278,-110.272413966807
15111.0354980002,35.0379725113371
15440.1281369999,43.9142170830946
15523.043414,-82.6699853310984
15994.8675230001,-159.768919217386
16165.1266089999,85.3831323571667
16585.1541550001,43.4229720650292
16588.0586689999,82.4309031006551
16639.9026270001,-120.732064794227
16909.1497450001,60.0975729297534
17291.1480089999,59.6231625926539
17294.147072,27.3611753094629
17652.1447220002,59.3937032012382
17765.862338,-117.137716184616
18029.1550810002,35.2296397697673
