"bfp_output.P","bfp_output.logBF"
10000,-3.05551373418028
9908.2280990038,-3.05270743237476
9817.29840618883,-3.04981761800239
9727.20319245055,-3.0468392751127
9637.93479961579,-3.04377168368803
9549.48563979196,-3.04060987122592
9461.84819472201,-3.03735126247802
9375.01501514529,-3.03399106216265
9288.9787201645,-3.03052648081275
9203.73199661823,-3.02695222475664
9119.2675984593,-3.02326527068358
9035.57834613892,-3.0194597646289
8952.6571259964,-3.01553242737269
8870.49688965441,-3.01147677401691
8789.09065341995,-3.0072892452692
8708.43149769073,-3.00296264448702
8628.51256636689,-2.99849310583273
8549.32706626839,-2.99387262794049
8470.86826655741,-2.98909700971337
8393.12949816637,-2.98415733829593
8316.10415323097,-2.97904904592896
8239.78568452852,-2.97376218504588
8164.16760492147,-2.96829178741747
8089.24348680595,-2.96262672851828
8015.00696156541,-2.95676072098292
7941.45171902934,-2.95068394510632
7868.57150693686,-2.94438685670719
7796.36013040524,-2.9378593889388
7724.8114514034,-2.93109091931195
7653.91938823016,-2.92407023443102
7583.67791499719,-2.91678549228096
7514.08106111696,-2.90922418189005
7445.12291079514,-2.90137308018263
7376.79760252773,-2.89321820582601
7309.09932860291,-2.88474476986245
7242.02233460732,-2.87593712290784
7175.56091893693,-2.86677869868502
7109.70943231243,-2.85725195365354
7044.46227729904,-2.84733830248238
6979.81390783066,-2.83701804910957
6915.75882873852,-2.82627031312345
6852.29159528407,-2.81507295119773
6789.40681269611,-2.80340247331254
6727.09913571235,-2.79123395350153
6665.36326812492,-2.77854093487228
6604.1939623303,-2.76529532867131
6543.58601888324,-2.75146730719278
6483.53428605473,-2.73702519037424
6424.03365939419,-2.7219353259825
6365.07908129558,-2.70616196337091
6306.66554056741,-2.68966712089961
6248.78807200689,-2.67241044724146
6191.44175597785,-2.65434907697941
6134.62171799251,-2.6354374811171
6078.32312829723,-2.61562731341804
6022.54120146193,-2.59486725383006
5967.27119597332,-2.57310285070597
5912.50841383188,-2.55027636407128
5858.24820015254,-2.52632661286826
5804.48594276898,-2.50118882993409
5751.21707184161,-2.47479452948995
5698.43705946914,-2.4470713931479
5646.14141930367,-2.41794318194688
5594.32570616938,-2.38732968373007
5542.98551568467,-2.35514670735766
5492.11648388779,-2.32130613782821
5441.71428686589,-2.28571606946802
5391.77464038751,-2.24828103797109
5342.29329953835,-2.2089023763006
5293.26605836056,-2.16747872438186
5244.68874949512,-2.12390672810123
5196.55724382766,-2.07808196946022
5148.8674501375,-2.02990017671324
5101.61531474984,-1.97925877083768
5054.79682119124,-1.92605881257976
5008.40798984822,-1.87020742206205
4962.44487762892,-1.81162075014147
4916.90357762803,-1.75022758625378
4871.78021879464,-1.68597369037173
4827.07096560318,-1.61882693503473
4782.77201772748,-1.54878333512174
4738.87960971766,-1.47587402532612
4695.39001068006,-1.40017321456635
4652.29952396019,-1.32180709933184
4609.60448682844,-1.24096364972579
4567.30127016875,-1.157903088986
4525.38627817017,-1.07296876707529
4483.85594802119,-0.986597980021751
4442.70674960688,-0.899332113619958
4401.93518520887,-0.811825300373026
4361.53778920801,-0.724850589941194
4321.51112778976,-0.639302471075506
4281.85179865241,-0.556194482917117
4242.55643071778,-0.476650658907412
4203.62168384471,-0.401889704067723
4165.04424854518,-0.333201156305857
4126.82084570296,-0.271913347283269
4088.94822629486,-0.219353747773719
4051.42317111465,-0.176803200790981
4014.24249049932,-0.145446507383961
3977.40302405803,-0.12632268481364
3940.90164040345,-0.120278790840653
3904.73523688556,-0.127931355581647
3868.90073932797,-0.149639070253481
3833.3951017666,-0.185489419209016
3798.21530619074,-0.235300503807035
3763.35836228653,-0.29863833883176
3728.82130718284,-0.374846730098464
3694.6012051993,-0.463087616224281
3660.6951475969,-0.562387321776423
3627.10025233065,-0.671684471537854
3593.81366380463,-0.789875458498481
3560.83255262928,-0.915853934894765
3528.15411538089,-1.04854168171435
3495.77557436328,-1.18690918802128
3463.69417737173,-1.32998522015346
3431.90719745905,-1.47685550831595
3400.41193270371,-1.62665140570418
3369.20570598027,-1.77853000931476
3338.28586473176,-1.93164782148481
3307.64978074424,-2.08513062724397
3277.29484992338,-2.23804287850306
3247.21849207313,-2.38936047047782
3217.41815067637,-2.53795124470626
3187.89129267765,-2.68256786975469
