jd	rv	rverr
1.222010565999988467e+04	5.980868860764305282e+03	2.359137296676635742e+00
1.223596666700020432e+04	5.968959679490133567e+03	2.710883378982543945e+00
1.223790321800019592e+04	5.966757671691470023e+03	2.249245166778564453e+00
1.223890817099995911e+04	5.989238925903839117e+03	2.363258361816406250e+00
1.224300268500018865e+04	5.971144355941589311e+03	2.590207099914550781e+00
1.230785856499988586e+04	6.089106860572821461e+03	2.816655397415161133e+00
1.233481468700012192e+04	6.150415633498749230e+03	2.555640220642089844e+00
1.253613091399986297e+04	5.982711104338057339e+03	2.320158958435058594e+00
1.253709064800012857e+04	5.992601948363109841e+03	2.713143825531005859e+00
1.253804892400000244e+04	6.000152904549788218e+03	2.640198707580566406e+00
1.257306518500018865e+04	6.087862166315266222e+03	2.376154661178588867e+00
1.257400208299979568e+04	6.083421430954062089e+03	2.191095113754272461e+00
1.257500512700015679e+04	6.111547154444429907e+03	2.441568851470947266e+00
1.260100292799994349e+04	6.251227406447651447e+03	2.472768068313598633e+00
1.260204458299977705e+04	6.197007174797694461e+03	2.146857738494873047e+00
1.265187018499989063e+04	6.139351972317905165e+03	2.159196615219116211e+00
1.271175175900012255e+04	5.987332309877296211e+03	2.922790527343750000e+00
1.271280894700018689e+04	6.015422261318628443e+03	2.747894287109375000e+00
1.292504451399995014e+04	6.096393366867225268e+03	2.268329620361328125e+00
1.307182591400016099e+04	6.002011341061734129e+03	2.394505023956298828e+00
1.330301804400002584e+04	6.129698775466851657e+03	2.307821512222290039e+00
1.333885441000014544e+04	5.924025972838553571e+03	2.805610179901123047e+00
1.334010457199998200e+04	5.957358429801497550e+03	3.135921478271484375e+00
1.336889458299987018e+04	6.011247589339945989e+03	2.924567937850952148e+00
1.374701027800003067e+04	5.960298004792159190e+03	2.866696119308471680e+00
1.511103549800021574e+04	6.088340988701878814e+03	3.790520191192626953e+00
1.544012813699990511e+04	6.097760801653552335e+03	2.714610099792480469e+00
1.552304341399995610e+04	6.104890939457287459e+03	3.455628395080566406e+00
1.599486752300010994e+04	5.914670391115898383e+03	4.572679996490478516e+00
1.616512660899991170e+04	6.131686518613380031e+03	3.037720680236816406e+00
1.658515415500011295e+04	6.268881283321126830e+03	3.225287675857543945e+00
1.658805866899993271e+04	6.309489132588940265e+03	3.171665430068969727e+00
1.663990262700011954e+04	6.040887291196010665e+03	3.408361434936523438e+00
1.690914974500006065e+04	6.237893588314473163e+03	3.232133626937866211e+00
1.729114800899988040e+04	6.130925991237047128e+03	2.696241378784179688e+00
1.729414707199996337e+04	6.138105723121712799e+03	2.616011142730712891e+00
1.765214472200023010e+04	6.317589473577827448e+03	3.492234468460083008e+00
1.776586233799997717e+04	5.937744431926781544e+03	2.699876308441162109e+00
1.802915508100017905e+04	6.095991205931262812e+03	3.794701576232910156e+00
