jd	rv	rverr
1.222010565999988467e+04	5.965471224886256095e+03	2.843181610107421875e+00
1.223596666700020432e+04	5.968959679490133567e+03	2.712729454040527344e+00
1.223790321800019592e+04	5.966757671691470023e+03	2.320610284805297852e+00
1.223890817099995911e+04	5.986623029200800374e+03	2.365845918655395508e+00
1.224300268500018865e+04	5.956076092923376564e+03	2.673252820968627930e+00
1.230785856499988586e+04	6.077098929490704904e+03	2.857756137847900391e+00
1.233481468700012192e+04	6.145710618540688301e+03	2.695307016372680664e+00
1.253613091399986297e+04	5.980835205931041855e+03	2.322984457015991211e+00
1.253709064800012857e+04	5.981985672145732678e+03	2.626059293746948242e+00
1.253804892400000244e+04	5.995367182334681274e+03	2.613833665847778320e+00
1.257306518500018865e+04	6.086388713554872083e+03	2.422273397445678711e+00
1.257400208299979568e+04	6.084140161797215114e+03	2.341202974319458008e+00
1.257500512700015679e+04	6.107288210677339521e+03	2.373996734619140625e+00
1.260100292799994349e+04	6.219938620721102779e+03	2.483310937881469727e+00
1.260204458299977705e+04	6.190014000038518134e+03	2.149501323699951172e+00
1.265187018499989063e+04	6.146954814059361524e+03	2.215672492980957031e+00
1.271175175900012255e+04	5.980271515524378628e+03	2.878129243850708008e+00
1.271280894700018689e+04	6.003584469859473757e+03	2.752923727035522461e+00
1.292504451399995014e+04	6.096393366867225268e+03	2.126456975936889648e+00
1.307182591400016099e+04	5.994119480088964337e+03	2.230206727981567383e+00
1.330301804400002584e+04	6.068838959822503966e+03	2.376961469650268555e+00
1.333885441000014544e+04	5.933388559975195676e+03	2.736613035202026367e+00
1.334010457199998200e+04	5.957358429801497550e+03	3.181943178176879883e+00
1.336889458299987018e+04	6.016472838914371096e+03	3.064615249633789062e+00
1.374701027800003067e+04	5.973993153801980952e+03	2.551247119903564453e+00
1.511103549800021574e+04	6.050434753216861282e+03	3.837223529815673828e+00
1.544012813699990511e+04	6.064810428006603615e+03	2.558884382247924805e+00
1.552304341399995610e+04	6.109374554777776211e+03	3.154545068740844727e+00
1.599486752300010994e+04	5.923604902598613990e+03	4.731923580169677734e+00
1.616512660899991170e+04	6.100300120731350034e+03	2.939024209976196289e+00
1.658515415500011295e+04	6.241792001557492767e+03	2.735187530517578125e+00
1.658805866899993271e+04	6.297242351651511854e+03	2.649947166442871094e+00
1.663990262700011954e+04	6.038593950861503799e+03	3.163281440734863281e+00
1.690914974500006065e+04	6.211480502488251659e+03	2.708153009414672852e+00
1.729114800899988040e+04	6.110888778717460809e+03	2.756957292556762695e+00
1.729414707199996337e+04	6.084862927520734956e+03	2.554334163665771484e+00
1.765214472200023010e+04	6.291874396461193101e+03	2.852159261703491211e+00
1.776586233799997717e+04	5.955923196257092059e+03	2.835670709609985352e+00
1.802915508100017905e+04	6.076920299219011213e+03	3.276172161102294922e+00
