jd	rv	rverr
1.222010565999988467e+04	5.959258947370930400e+03	2.664583206176757812e+00
1.223596666700020432e+04	5.954697398403772240e+03	2.629010200500488281e+00
1.223790321800019592e+04	5.961797447298966290e+03	2.310410737991333008e+00
1.223890817099995911e+04	5.968144884572393494e+03	2.283416032791137695e+00
1.224300268500018865e+04	5.954916198762992281e+03	2.725876808166503906e+00
1.230785856499988586e+04	6.069527716268901713e+03	2.877072334289550781e+00
1.233481468700012192e+04	6.136924433908759966e+03	2.633338689804077148e+00
1.253613091399986297e+04	5.971473164113704115e+03	2.321748971939086914e+00
1.253709064800012857e+04	5.974191968647748581e+03	2.592631816864013672e+00
1.253804892400000244e+04	5.988465621218638262e+03	2.401200532913208008e+00
1.257306518500018865e+04	6.085947004918336461e+03	2.268565416336059570e+00
1.257400208299979568e+04	6.079939021876387415e+03	2.123574733734130859e+00
1.257500512700015679e+04	6.107288210677339521e+03	2.287405490875244141e+00
1.260100292799994349e+04	6.219938620721102779e+03	2.460313796997070312e+00
1.260204458299977705e+04	6.181253990733199316e+03	2.066425800323486328e+00
1.265187018499989063e+04	6.139351972317905165e+03	2.316974401473999023e+00
1.271175175900012255e+04	5.972863898093884927e+03	3.004136800765991211e+00
1.271280894700018689e+04	5.998068019776517758e+03	2.729469537734985352e+00
1.292504451399995014e+04	6.096393366867225268e+03	2.231781959533691406e+00
1.307182591400016099e+04	5.989185431023070123e+03	2.347339630126953125e+00
1.330301804400002584e+04	6.047177786414518778e+03	3.038602590560913086e+00
1.333885441000014544e+04	5.914626303989214648e+03	3.275169134140014648e+00
1.334010457199998200e+04	5.952436377760299365e+03	3.765009164810180664e+00
1.336889458299987018e+04	6.017537302196491510e+03	3.276728630065917969e+00
1.374701027800003067e+04	5.976135168029526540e+03	3.421014070510864258e+00
1.511103549800021574e+04	6.033660731414594920e+03	4.496911525726318359e+00
1.544012813699990511e+04	6.031964755666092969e+03	3.129758834838867188e+00
1.552304341399995610e+04	6.109374554777776211e+03	3.579199314117431641e+00
1.599486752300010994e+04	5.945454756485909456e+03	5.743663787841796875e+00
1.616512660899991170e+04	6.100300120731350034e+03	3.222364425659179688e+00
1.658515415500011295e+04	6.245969147428928409e+03	3.307300090789794922e+00
1.658805866899993271e+04	6.264078212837252067e+03	3.236317873001098633e+00
1.663990262700011954e+04	6.056223714982144884e+03	4.168562889099121094e+00
1.690914974500006065e+04	6.174357345524302218e+03	3.345350980758666992e+00
1.729114800899988040e+04	6.113558662031631684e+03	3.500200271606445312e+00
1.729414707199996337e+04	6.084125655821233522e+03	2.995258808135986328e+00
1.765214472200023010e+04	6.270388815869213431e+03	3.445971727371215820e+00
1.776586233799997717e+04	5.936065939107946178e+03	3.108666896820068359e+00
1.802915508100017905e+04	6.064973443898983533e+03	4.414536476135253906e+00
