jd	rv	rverr
1.222010565999988467e+04	5.965006612838937144e+03	2.622435808181762695e+00
1.223596666700020432e+04	5.947960523717647447e+03	2.589848995208740234e+00
1.223790321800019592e+04	5.960421061374749115e+03	2.353900671005249023e+00
1.223890817099995911e+04	5.968171605218307377e+03	2.397787809371948242e+00
1.224300268500018865e+04	5.954916198762992281e+03	2.668693542480468750e+00
1.230785856499988586e+04	6.077657336458374630e+03	2.806869506835937500e+00
1.233481468700012192e+04	6.147100092128210235e+03	2.577756404876708984e+00
1.253613091399986297e+04	5.971473164113704115e+03	2.267615556716918945e+00
1.253709064800012857e+04	5.974191968647748581e+03	2.748898983001708984e+00
1.253804892400000244e+04	5.988465621218638262e+03	2.621683835983276367e+00
1.257306518500018865e+04	6.088361678798064531e+03	2.351732730865478516e+00
1.257400208299979568e+04	6.084140161797215114e+03	2.355710744857788086e+00
1.257500512700015679e+04	6.106885765030718176e+03	2.343044757843017578e+00
1.260100292799994349e+04	6.222471083570573683e+03	2.462343454360961914e+00
1.260204458299977705e+04	6.186722452717371198e+03	2.179783582687377930e+00
1.265187018499989063e+04	6.144457251645369979e+03	2.329869747161865234e+00
1.271175175900012255e+04	5.968156701858606539e+03	2.961370706558227539e+00
1.271280894700018689e+04	6.002173183499777224e+03	2.798138856887817383e+00
1.292504451399995014e+04	6.096393366867225268e+03	2.223683834075927734e+00
1.307182591400016099e+04	5.989717662664130330e+03	2.353421926498413086e+00
1.330301804400002584e+04	6.130405509285308653e+03	2.293791532516479492e+00
1.333885441000014544e+04	5.905091941271697578e+03	2.725698709487915039e+00
1.334010457199998200e+04	5.931799314005911583e+03	3.061913013458251953e+00
1.336889458299987018e+04	6.009041227434485336e+03	2.928167343139648438e+00
1.374701027800003067e+04	5.966077298779819102e+03	2.930896043777465820e+00
1.511103549800021574e+04	6.093728743429004680e+03	3.705023288726806641e+00
1.544012813699990511e+04	6.105214225905612693e+03	2.466097593307495117e+00
1.552304341399995610e+04	6.097435879247314006e+03	3.445014953613281250e+00
1.599486752300010994e+04	5.927895474885357544e+03	4.550542354583740234e+00
1.616512660899991170e+04	6.133904877543536713e+03	2.871583700180053711e+00
1.658515415500011295e+04	6.267232237744727172e+03	3.285936355590820312e+00
1.658805866899993271e+04	6.321679200318714720e+03	3.002413988113403320e+00
1.663990262700011954e+04	6.038593950861503799e+03	3.260950565338134766e+00
1.690914974500006065e+04	6.239542633890872821e+03	3.194448947906494141e+00
1.729114800899988040e+04	6.127172013145798701e+03	2.742851495742797852e+00
1.729414707199996337e+04	6.134578597861080198e+03	2.628038406372070312e+00
1.765214472200023010e+04	6.309030141776514938e+03	3.472383260726928711e+00
1.776586233799997717e+04	5.922555108022999775e+03	2.844881534576416016e+00
1.802915508100017905e+04	6.098161576762635377e+03	3.418193101882934570e+00
