jd	rv	rverr
1.222010565999988467e+04	5.961372604994649009e+03	2.568889617919921875e+00
1.223596666700020432e+04	5.948865208443588926e+03	2.599627494812011719e+00
1.223790321800019592e+04	5.959029951829314086e+03	2.298245429992675781e+00
1.223890817099995911e+04	5.968171605218307377e+03	2.191539525985717773e+00
1.224300268500018865e+04	5.952457899338915013e+03	2.533663511276245117e+00
1.230785856499988586e+04	6.068402177224692423e+03	2.787465095520019531e+00
1.233481468700012192e+04	6.134165118228673236e+03	2.537880420684814453e+00
1.253613091399986297e+04	5.967298199519485934e+03	2.270535707473754883e+00
1.253709064800012857e+04	5.972691249922136194e+03	2.636461973190307617e+00
1.253804892400000244e+04	5.997197273920130101e+03	2.531923532485961914e+00
1.257306518500018865e+04	6.080959514560614480e+03	2.330253362655639648e+00
1.257400208299979568e+04	6.072125686883446178e+03	2.331696987152099609e+00
1.257500512700015679e+04	6.091407421895622974e+03	2.218208074569702148e+00
1.260100292799994349e+04	6.222471083570573683e+03	2.493034601211547852e+00
1.260204458299977705e+04	6.184883090703748167e+03	2.102389097213745117e+00
1.265187018499989063e+04	6.136489045969989093e+03	2.232178926467895508e+00
1.271175175900012255e+04	5.958360585874994285e+03	3.017521142959594727e+00
1.271280894700018689e+04	5.999858848372052307e+03	2.714231491088867188e+00
1.292504451399995014e+04	6.082348122864001198e+03	2.250407457351684570e+00
1.307182591400016099e+04	5.988406715056436951e+03	2.240151166915893555e+00
1.330301804400002584e+04	6.080983220730711764e+03	2.429204940795898438e+00
1.333885441000014544e+04	5.914205862805549259e+03	2.819589614868164062e+00
1.334010457199998200e+04	5.946250002911931006e+03	3.216618776321411133e+00
1.336889458299987018e+04	6.005029858631576644e+03	2.967397212982177734e+00
1.374701027800003067e+04	5.966077298779819102e+03	2.582219839096069336e+00
1.511103549800021574e+04	6.056729919266450452e+03	3.956316709518432617e+00
1.544012813699990511e+04	6.047683039295108756e+03	2.444653272628784180e+00
1.552304341399995610e+04	6.108920303797240194e+03	3.205730438232421875e+00
1.599486752300010994e+04	5.913736804466825561e+03	5.010045051574707031e+00
1.616512660899991170e+04	6.128120130362833152e+03	2.938248634338378906e+00
1.658515415500011295e+04	6.245969147428928409e+03	2.651590347290039062e+00
1.658805866899993271e+04	6.309489132588940265e+03	2.497514486312866211e+00
1.663990262700011954e+04	6.037536576730340130e+03	3.283027172088623047e+00
1.690914974500006065e+04	6.219943858091995935e+03	2.611676692962646484e+00
1.729114800899988040e+04	6.127172013145798701e+03	2.927718400955200195e+00
1.729414707199996337e+04	6.090889796472576563e+03	2.619492053985595703e+00
1.765214472200023010e+04	6.309030141776514938e+03	2.751257896423339844e+00
1.776586233799997717e+04	5.934910952821301180e+03	2.700929641723632812e+00
1.802915508100017905e+04	6.082667964687017957e+03	3.276155233383178711e+00
