jd	rv	rverr
1.222010565999988467e+04	5.965006612838937144e+03	2.638283014297485352e+00
1.223596666700020432e+04	5.954697398403772240e+03	2.735504150390625000e+00
1.223790321800019592e+04	5.959029951829314086e+03	2.305072784423828125e+00
1.223890817099995911e+04	5.982563672299107566e+03	2.319006443023681641e+00
1.224300268500018865e+04	5.955124510737259698e+03	2.681050539016723633e+00
1.230785856499988586e+04	6.077657336458374630e+03	2.594989061355590820e+00
1.233481468700012192e+04	6.145710618540688301e+03	2.531298160552978516e+00
1.253613091399986297e+04	5.982711104338057339e+03	2.367676019668579102e+00
1.253709064800012857e+04	5.989958240375548485e+03	2.584819316864013672e+00
1.253804892400000244e+04	5.992788912663643714e+03	2.504321813583374023e+00
1.257306518500018865e+04	6.087862166315266222e+03	2.453710794448852539e+00
1.257400208299979568e+04	6.085522000914475939e+03	2.398448467254638672e+00
1.257500512700015679e+04	6.104269323008375068e+03	2.465543270111083984e+00
1.260100292799994349e+04	6.227754682310565840e+03	2.501966476440429688e+00
1.260204458299977705e+04	6.181253990733199316e+03	2.125895500183105469e+00
1.265187018499989063e+04	6.139351972317905165e+03	2.195982456207275391e+00
1.271175175900012255e+04	5.965851091839751462e+03	2.932375907897949219e+00
1.271280894700018689e+04	5.999858848372052307e+03	2.704664707183837891e+00
1.292504451399995014e+04	6.100945692420064006e+03	2.302928209304809570e+00
1.307182591400016099e+04	5.997810201140906429e+03	2.381461381912231445e+00
1.330301804400002584e+04	6.124196503685809148e+03	2.503089666366577148e+00
1.333885441000014544e+04	5.931188196582083037e+03	2.737759113311767578e+00
1.334010457199998200e+04	5.952436377760299365e+03	3.140887975692749023e+00
1.336889458299987018e+04	6.016398675488977460e+03	2.779307603836059570e+00
1.374701027800003067e+04	5.968088436374317098e+03	2.684430360794067383e+00
1.511103549800021574e+04	6.056729919266450452e+03	4.103192329406738281e+00
1.544012813699990511e+04	6.064810428006603615e+03	2.677887678146362305e+00
1.552304341399995610e+04	6.119616741952359007e+03	3.133454322814941406e+00
1.599486752300010994e+04	5.937028482594861998e+03	4.587654590606689453e+00
1.616512660899991170e+04	6.143951840407156851e+03	2.971075296401977539e+00
1.658515415500011295e+04	6.257191818712759414e+03	2.794209718704223633e+00
1.658805866899993271e+04	6.309489132588940265e+03	2.644263744354248047e+00
1.663990262700011954e+04	6.049100208909225330e+03	3.393491744995117188e+00
1.690914974500006065e+04	6.222585384802339831e+03	2.597131967544555664e+00
1.729114800899988040e+04	6.125409541154091130e+03	2.963300466537475586e+00
1.729414707199996337e+04	6.103626274145324714e+03	2.719115495681762695e+00
1.765214472200023010e+04	6.309030141776514938e+03	3.043596029281616211e+00
1.776586233799997717e+04	5.941025072861841181e+03	2.905210256576538086e+00
1.802915508100017905e+04	6.098161576762635377e+03	3.620760917663574219e+00
