jd	rv	rverr	rvdiff	rvdifferr
1.780470834500016645e+04	2.465454046791358269e+04	1.220368742942810059e+00	1.012112628901377320e+00	1.776938919529863936e+00
1.780679335599998012e+04	2.463946542207896709e+04	1.151224493980407715e+00	-2.517193908948684111e+00	1.696308448393933910e+00
1.782875759299984202e+04	2.463773549776407890e+04	1.128661632537841797e+00	7.110963728919159621e+00	1.747909112374200991e+00
1.782972190999984741e+04	2.462872432640398620e+04	1.049845337867736816e+00	3.860860674903960899e+00	1.596460216193382076e+00
1.783072302100015804e+04	2.464316295787360286e+04	1.201177239418029785e+00	1.197957447828957811e+01	1.820982947300099131e+00
1.800015152799990028e+04	2.464129579579897836e+04	8.360133171081542969e-01	5.747460973267152440e+00	1.281137569543697285e+00
1.800114962999988347e+04	2.465002049118184368e+04	9.443722963333129883e-01	1.481025882233734592e+01	1.429374657415991345e+00
1.800314906200021505e+04	2.464083475526818802e+04	8.875613808631896973e-01	1.375186221747571835e+01	1.304845403039433416e+00
1.802993422499997541e+04	2.464789152654601276e+04	1.026341438293457031e+00	8.553878608268860262e+00	1.535334334112793186e+00
1.806589894700003788e+04	2.464442792729051143e+04	1.282519102096557617e+00	1.404960655765898991e+01	1.939555673173561257e+00
1.809190487299999222e+04	2.463374211846887192e+04	1.263140678405761719e+00	1.101544994817231782e+00	1.897552097180503772e+00
