"V1","V2"
12220.1056599999,4.19913426387302
12235.9666670002,-2.15314171616319
12237.9032180002,-2.26245466489672
12238.908171,9.61506864718922
12243.0026850002,-9.1891513658129
12307.8585649999,14.2192195649968
12334.8146870001,-2.00205945451034
12536.1309139999,-5.17186667826991
12537.0906480001,-11.0521878461559
12538.048924,5.52215117419382
12573.0651850002,20.2308964123822
12574.0020829998,18.4999921998433
12575.0051270002,33.8585059206462
12601.0029279999,71.3067569154318
12602.0445829998,30.5475355487933
12651.8701849999,55.7017479318638
12711.7517590001,-13.4030157681309
12712.8089470002,31.5170870683587
12925.044514,39.1593695370293
13071.8259140002,-10.8051969111602
13303.018044,59.6173084393713
13338.8544100001,-70.631606228304
13340.104572,-47.6668123097506
13368.8945829999,-40.652520289621
13747.010278,-44.3987374017552
15111.0354980002,-0.488576226808618
15440.1281369999,8.30113693181556
15523.043414,-64.5993886629794
15994.8675230001,-101.309886463858
16165.1266089999,29.5723449377056
16585.1541550001,11.137477696102
16588.0586689999,26.0639967930647
16639.9026270001,-72.5881510507834
16909.1497450001,40.6298418019969
17291.1480089999,57.9752439942422
17294.147072,24.2951690390992
17652.1447220002,-3.02188145199125
17765.862338,-80.7236153703716
18029.1550810002,-9.80938081591557
