"bfp_output.P","bfp_output.logBF"
10000,-4.1815374186788
9908.2280990038,-4.1213458504545
9817.29840618883,-4.12173920553463
9727.20319245055,-4.12214005391994
9637.93479961579,-4.12254854134662
9549.48563979196,-4.12296481648596
9461.84819472201,-4.1233890310065
9375.01501514529,-4.12382069227781
9288.9787201645,-4.12426106866408
9203.73199661823,-4.12470990447926
9119.2675984593,-4.12516731496297
9035.57834613892,-4.12563346769824
8952.6571259964,-4.12610853366712
8870.49688965441,-4.12659268732298
8789.09065341995,-4.12708610666451
8708.43149769073,-4.12758897331159
8628.51256636689,-4.1281014725823
8549.32706626839,-4.12862379357242
8470.86826655741,-4.12915612923561
8393.12949816637,-4.12969867646641
8316.10415323097,-4.13025044797493
8239.78568452852,-4.13081356173982
8164.16760492147,-4.13138770195244
8089.24348680595,-4.13197287735287
8015.00696156541,-4.13256871474542
7941.45171902934,-4.13317624982293
7868.57150693686,-4.13379558924359
7796.36013040524,-4.13442685710968
7724.8114514034,-4.13507028959165
7653.91938823016,-4.13572612772615
7583.67791499719,-4.13639461751981
7514.08106111696,-4.13707601005584
7445.12291079514,-4.1377705616022
7376.79760252773,-4.13847853372224
7309.09932860291,-4.13919913142186
7242.02233460732,-4.13993415740546
7175.56091893693,-4.14068368026918
7109.70943231243,-4.14144724924549
7044.46227729904,-4.14222568996903
6979.81390783066,-4.14301930045068
6915.75882873852,-4.14382830703798
6852.29159528407,-4.14465301763565
6789.40681269611,-4.1454937465351
6727.09913571235,-4.14635081454705
6665.36326812492,-4.14722454913758
6604.1939623303,-4.14811426991699
6543.58601888324,-4.14902166661349
6483.53428605473,-4.14994701249069
6424.03365939419,-4.15088984730929
6365.07908129558,-4.15185109670822
6306.66554056741,-4.15283118572219
6248.78807200689,-4.15383041381759
6191.44175597785,-4.15484916646929
6134.62171799251,-4.15588783711306
6078.32312829723,-4.15694682730074
6022.54120146193,-4.15802545426121
5967.27119597332,-4.15912551005553
5912.50841383188,-4.1602473958649
5858.24820015254,-4.1613905750273
5804.48594276898,-4.16255620426873
5751.21707184161,-4.16374476499837
5698.43705946914,-4.16495667181275
5646.14141930367,-4.16619239639064
5594.32570616938,-4.16745241995031
5542.98551568467,-4.16873624563462
5492.11648388779,-4.17004549614674
5441.71428686589,-4.17138022435748
5391.77464038751,-4.17274125790303
5342.29329953835,-4.17412895805214
5293.26605836056,-4.1755440260184
5244.68874949512,-4.17698701354371
5196.55724382766,-4.17845848309222
5148.8674501375,-4.17995762928055
5101.61531474984,-4.18148665562481
5054.79682119124,-4.18304558829269
5008.40798984822,-4.18463532053463
4962.44487762892,-4.18625602940173
4916.90357762803,-4.18790869602143
4871.78021879464,-4.18959393464783
4827.07096560318,-4.19131250902197
4782.77201772748,-4.1930642060847
4738.87960971766,-4.19485028990536
4695.39001068006,-4.19667135003985
4652.29952396019,-4.19852839248355
4609.60448682844,-4.20042154946188
4567.30127016875,-4.20235195801271
4525.38627817017,-4.20432032155813
4483.85594802119,-4.20632758698813
4442.70674960688,-4.20837342772231
4401.93518520887,-4.21045927081716
4361.53778920801,-4.212585778744
4321.51112778976,-4.21475414679876
4281.85179865241,-4.21696438069412
4242.55643071778,-4.21921786767931
4203.62168384471,-4.22151540891642
4165.04424854518,-4.22385806824284
4126.82084570296,-4.22624516071173
4088.94822629486,-4.22867842743702
4051.42317111465,-4.23115863181218
4014.24249049932,-4.23368715055151
3977.40302405803,-4.23626371053408
3940.90164040345,-4.23888998994735
3904.73523688556,-4.24156685242119
3868.90073932797,-4.24429450516485
3833.3951017666,-4.24707353635555
3798.21530619074,-4.2499054708471
3763.35836228653,-4.25279159298825
3728.82130718284,-4.25573078124498
3694.6012051993,-4.2587252190593
3660.6951475969,-4.26177494724024
3627.10025233065,-4.26488241858036
3593.81366380463,-4.26804450140887
3560.83255262928,-4.27126615348075
3528.15411538089,-4.27454577659145
3495.77557436328,-4.27788391472567
3463.69417737173,-4.28128168955564
3431.90719745905,-4.28474068405578
3400.41193270371,-4.28825799867551
3369.20570598027,-4.29183716233897
3338.28586473176,-4.29547682254852
3307.64978074424,-4.29917857481215
3277.29484992338,-4.30294018293498
3247.21849207313,-4.30676521677148
3217.41815067637,-4.31065029816884
3187.89129267765,-4.31459640550068
3158.63540826782,-4.3186028286149
3129.64801067075,-4.32266975329643
3100.92663593193,-4.32679602157762
3072.468842709,-4.33098097301061
3044.2722120643,-4.33522292997489
3016.3343472592,-4.33952137647262
2988.65287355038,-4.34387436627972
2961.22543798804,-4.3482785728385
2934.04970921579,-4.35273443448208
2907.12337727258,-4.35723759699326
2880.4441533963,-4.36178374397847
2854.00976982924,-4.36637302446403
2827.81797962534,-4.37099921056032
2801.8665564592,-4.37565652814297
2776.1532944368,-4.38034387617611
2750.67600790807,-4.38505315328669
2725.43253128103,-4.38977664247128
2700.42071883777,-4.39451137203409
2675.63844455205,-4.39924699614764
2651.08360190854,-4.40397330392975
2626.75410372384,-4.40868470434444
2602.64788196901,-4.41336808109983
2578.7628875938,-4.41801009297447
2555.09709035251,-4.42260162052574
2531.64847863135,-4.42712613492583
2508.41505927754,-4.43156642946426
2485.3948574298,-4.43590879059932
2462.58591635055,-4.44013253417958
2439.98629725955,-4.44421580359111
2417.59407916913,-4.4481391423445
2395.40735872088,-4.45187691429513
2373.42425002387,-4.45540193920564
2351.64288449435,-4.45868761639466
2330.06141069693,-4.46170355295934
2308.67799418717,-4.46441607485954
2287.4908173557,-4.46679057094852
2266.49807927369,-4.46879092239024
2245.69799553977,-4.47037841805158
2225.08879812837,-4.47151195213738
2204.66873523941,-4.47214893271254
2184.43607114943,-4.47224493243383
2164.38908606402,-4.47175575989329
2144.52607597167,-4.47063572044161
2124.84535249888,-4.46883922206794
2105.34524276671,-4.46632078937935
2086.0240892485,-4.46303744947906
2066.88024962908,-4.45894642651931
2047.91209666509,-4.45401040729164
2029.11801804668,-4.44819797258046
2010.4964162605,-4.44147859250015
1992.04570845387,-4.43383373305071
1973.76432630026,-4.42524721148502
1955.65071586595,-4.41571747329212
1937.70333747799,-4.4052463164164
1919.92066559328,-4.39385070814686
1902.30118866895,-4.38155517507843
1884.8434090338,-4.3683914203439
1867.54584276108,-4.3544014287701
1850.4070195423,-4.33963426345096
1833.42548256229,-4.32414131166442
1816.59978837533,-4.30797376206962
1799.92850678248,-4.29118035800079
1783.41022071001,-4.27380472549115
1767.04352608895,-4.25587432757161
1750.82703173572,-4.23740726180969
1734.75935923393,-4.21839667437937
1718.83914281715,-4.1988163137776
1703.06502925284,-4.17861382955786
1687.43567772738,-4.15770813225962
1671.94975973199,-4.13599475344407
1656.60595894991,-4.11334287330831
1641.40297114447,-4.08959596476709
1626.33950404819,-4.06458229111647
1611.41427725302,-4.03811698618844
1596.62602210143,-4.01000613024499
1581.9734815786,-3.98006138162421
1567.4554102056,-3.94810109645468
1553.07057393346,-3.91396968034141
1538.81775003835,-3.87753807963091
1524.69572701757,-3.83872164323722
1510.70330448665,-3.79748822283179
1496.83929307726,-3.75386711834986
1483.1025143361,-3.70795900541512
1469.49180062482,-3.65994364959747
1456.00599502065,-3.61008563652726
1442.64395121816,-3.55873561738534
1429.40453343176,-3.50633197270347
1416.2866162992,-3.453396415926
1403.28908478587,-3.40052714512345
1390.41083409007,-3.34838956376282
1377.65076954905,-3.29769805195602
1365.00780654601,-3.24920925853613
1352.48087041788,-3.20369189351536
1340.06889636395,-3.16191640026668
1327.77082935543,-3.12462988469329
1315.5856240457,-3.09253897831596
1303.51224468151,-3.06629044616685
1291.54966501488,-3.04645611613901
1279.69686821594,-3.0335190009836
1267.95284678643,-3.02786390041857
1256.31660247412,-3.02976794563878
1244.78714618791,-3.03940022136843
1233.36349791378,-3.05681564327088
1222.04468663149,-3.08196369857424
1210.82975023204,-3.11468620307565
1199.71773543588,-3.1547255944632
1188.7076977119,-3.20173123794874
1177.79870119712,-3.25526755739659
1166.98981861715,-3.31481589823014
1156.28013120738,-3.37978661471354
1145.66872863487,-3.44951761407143
1135.154708921,-3.523283227024
1124.73717836475,-3.60029719279689
1114.41525146679,-3.67971935688124
1104.18805085416,-3.76066100333057
1094.05470720574,-3.84219501177179
1084.01435917833,-3.9233678884851
1074.06615333343,-4.00321765384936
1064.20924406472,-4.08078336201643
1054.44279352617,-4.15513299977497
1044.7659715608,-4.22538815228845
1035.17795563018,-4.29073829093196
1025.67793074442,-4.35047327422282
1016.265089393,-4.40399858708125
1006.93863147603,-4.45085091491453
997.69776423632,-4.49071117968808
988.541702191958,-4.52340518914198
979.46966706954,-4.54889608482464
970.48088773803,-4.56727567780891
961.57460014321,-4.5787396777844
952.75004724273,-4.58356564872051
944.00647894176,-4.58208364572121
935.343152029239,-4.57465671406485
926.759330114689,-4.56165662271994
918.254283565628,-4.54344991131299
909.827289445556,-4.52040244027919
908.34697217676,-4.51585634478042
901.477631452492,-4.49287898979461
893.204599858096,-4.46126285401883
885.007491447343,-4.4259762664756
876.885609458743,-4.3875036908818
868.838263525119,-4.34641034550524
860.864769614924,-4.30336214554925
852.964449974103,-4.2591271539541
845.136633068472,-4.21459503936259
837.380653526649,-4.17076841240558
829.695852083491,-4.12877902659804
822.081575524054,-4.08989610889293
814.537176628074,-4.05554068337196
807.06201411495,-4.02730074522251
799.655452589235,-4.00693182206035
792.316862486625,-3.99631414087352
785.045620020451,-3.99733733172306
777.841107128649,-4.01163726690007
770.70271142123,-4.04014338106973
763.629826128224,-4.0824175171114
756.621850048106,-4.13591205900613
749.678187496688,-4.19550875638876
742.798248256492,-4.25386130590218
735.981447526577,-4.30284323253719
729.227205872832,-4.33575958094744
722.534949178721,-4.34919687451085
715.904108596489,-4.34355730497694
709.3341204988,-4.3221364485386
702.824426430835,-4.28948897521284
696.374473062823,-4.24993287809358
689.983712143002,-4.20657770596702
683.651600451024,-4.16091528091167
677.377599751775,-4.11276042567673
671.161176749628,-4.06042861609134
665.001803043112,-4.00111732520284
658.898955079995,-3.93153861248769
652.852114112785,-3.84883078975943
646.860766154633,-3.75161997223435
640.924401935645,-3.64091879162717
635.042516859597,-3.52038931367716
629.214610961035,-3.39577929742691
623.440188862786,-3.27365742464568
617.718759733849,-3.15999726192686
612.04983724767,-3.0590485989965
606.432939540806,-2.97268359508442
600.867589171969,-2.90006433137373
595.353313081437,-2.83741482002378
589.88964255085,-2.77786065148857
584.476113163363,-2.71166114746896
579.112264764176,-2.6274973671996
573.797641421414,-2.51534932536734
568.531791387375,-2.3704673317524
563.314267060136,-2.19640885923426
558.144624945497,-2.00495056018818
553.02242561929,-1.81285161866825
547.947233690029,-1.63785880593238
542.918617761894,-1.49634687421494
537.93615039807,-1.40303856043144
532.999408084409,-1.37157205239774
528.107971193433,-1.4143113256587
523.261423948666,-1.54032801781679
518.459354389291,-1.75162706004736
513.701354335134,-2.03937401681779
508.987019351968,-2.38311080115804
504.315948717136,-2.75489047440525
499.687745385488,-3.12671777725726
495.102015955635,-3.47681823229314
490.558370636505,-3.79133311353709
486.056423214214,-4.06167842866924
481.595791019235,-4.28043393615653
477.176094893875,-4.43897545621937
475.782254607801,-4.47526087372873
472.796959160039,-4.5289562815814
468.458011587305,-4.54726029287102
464.158883361278,-4.5010902712867
459.899209052244,-4.40879067051091
455.678626584106,-4.29520098278599
451.49677720361,-4.18479349883714
447.353305449847,-4.09673851024192
443.24785912404,-4.04329372179822
439.180089259609,-4.03033466691287
435.149650092505,-4.05846997408722
431.156199031823,-4.12404620321181
427.199396630678,-4.22003973782145
423.278906557355,-4.33638388511346
419.394395566719,-4.45838924127978
415.545533471888,-4.56202936692077
411.731993116168,-4.60663669122678
407.953450345245,-4.52892658907879
404.209583979631,-4.24806726863105
400.500075787361,-3.69551176599325
396.824610456948,-2.8684011738267
393.182875570577,-1.86461718092053
389.57456157755,-0.846277248728116
385.999361767977,0.0483020798601768
382.4569722467,0.760781580323139
378.947091907467,1.30375467945643
375.469422407333,1.72409304784506
372.023668141307,2.07487669802097
368.609536217216,2.3996161940469
365.226736430818,2.71871646928613
361.874981241128,3.02054417289727
358.553985745982,3.2673098090622
355.263467657814,3.40119541694631
352.003147279668,3.33913392213216
348.772747481418,2.98158900206718
345.571993676214,2.26492931654539
342.400613797142,1.23727298819128
339.258338274099,0.0628076761192613
336.144900010877,-1.07508153432983
333.060034362459,-2.0681446657118
330.003479112529,-2.88849417187854
326.974974451177,-3.54069615608646
323.97426295282,-4.02167214153931
322.299651567944,-4.21158291027413
321.001089554317,-4.31836046447862
318.055201533292,-4.43625856186216
315.136348486648,-4.41799731637914
312.244282309286,-4.3267268740249
309.378757173014,-4.22031183010844
306.539529505653,-4.14390331110926
303.726357970331,-4.13102533537463
300.939003444972,-4.18934410216233
298.177229001967,-4.28695519158319
295.440799888038,-4.38282333524134
292.729483504282,-4.46087253734922
290.043049386399,-4.52112535543481
287.381269185106,-4.5591040138809
284.743916646725,-4.56030804971843
282.130767593947,-4.51320759961848
279.541599906786,-4.42694053201004
276.976193503689,-4.32612203501574
274.434330322837,-4.22795711447967
271.915794303602,-4.1335628031006
269.420371368188,-4.03900203335704
266.947849403432,-3.95047028933257
264.498018242772,-3.88429670078026
262.070669648385,-3.85112101471467
259.665597293487,-3.85027814377205
257.282596744793,-3.87833880141076
254.921465445142,-3.93481544669871
252.582002696278,-4.01981777978213
250.264009641792,-4.12871720573864
247.967289250216,-4.24996475706851
245.691646298279,-4.36646040129185
243.688254665203,-4.44873480902706
243.436887354311,-4.45683296998689
241.202820761801,-4.50004140885014
238.989256623105,-4.49000533352663
236.796006783308,-4.44680265169754
234.622884814226,-4.40003357706698
232.469705998565,-4.35878044762862
230.336287314213,-4.29580130977453
228.22244741869,-4.14508196395068
226.128006633728,-3.83745321708798
224.052786930002,-3.2580951958802
221.996611911996,-2.82544004575428
219.959306803008,-2.57087969973847
217.940698430295,-2.48829261159526
215.940615210357,-2.52778940676095
213.958887134342,-2.66704618005585
211.995345753607,-2.9216213269788
210.049824165392,-3.31001632428192
208.122156998634,-3.79977198366552
206.212180399914,-4.2756450099466
204.319732019527,-4.566170454103
202.44465099768,-4.56606160218095
200.586777950823,-4.33316740418829
198.745954958098,-4.004683245542
196.922025547917,-3.67545748543418
195.905400635369,-3.50794347839482
195.114834684662,-3.39195207937323
193.324228755505,-3.21062627282149
191.550055557353,-3.23579622174035
189.79216428391,-3.56577503583046
188.050405512858,-4.07046312811198
186.324631193156,-4.4285310020268
184.614694632455,-4.54070623904104
182.920450484629,-4.50651313228511
181.241754737424,-4.43442634611736
179.57846470021,-4.37924053327643
177.930438991858,-4.35698176781662
176.297537528721,-4.38391904860495
174.679621512725,-4.44883464940594
173.076553419573,-4.50741170477048
