"V1","V2"
15110.97566,-8.38556138724313
15171.9037270001,-7.3134373303974
15188.7847449998,4.63001394924788
15231.7590390001,-11.4733532376464
15255.709942,1.51116133279439
15255.7105669999,5.85070460336902
15260.7145489999,12.3956185835627
15261.7205670001,6.6464897304354
15426.1442010002,-11.40918766062
15427.147477,-6.18960655357783
15434.1467940002,7.40295662474673
15435.1457179999,9.48685415343183
15436.1439350001,-3.69656106817979
15437.1485529998,9.18632420113854
15438.1501389998,-7.43928797098124
15439.1476389999,-5.88159894370656
15439.1481599999,-9.65623207546824
15439.1486920002,-6.36480035299035
15440.1501270002,-14.9394303506181
15441.1484949999,-9.95075835461193
15456.0133560002,3.99219902706826
15465.0704399999,1.27103346049236
15469.1245949999,-0.208304891746812
15486.9994910001,-5.28948258878915
15500.9818750001,4.30625281757714
15521.888206,-12.0611235827043
15542.9469790002,-3.80180543000192
15613.7048379998,27.70304074984
15791.138299,13.8947985232624
15792.1340049999,-10.9059074463955
15793.1378589999,-7.75788422603252
15795.139641,-6.10252718192826
15797.1372219999,-1.75538771165822
15798.1408099998,2.28475389331945
15807.1097110002,-4.50469558024353
15809.1346530002,10.5738000175757
15870.9851500001,4.88074586434455
15902.8967940002,-1.77444179171061
15902.898542,-0.6673939819213
15902.8995019998,-1.18650987728035
15960.6989239999,-2.37139556596771
16138.1307870001,-19.163749275995
16149.13228,2.09905440209436
16149.132801,-13.0130809299334
16149.1333329999,-8.59865742472581
16173.1296179998,-8.09903205505933
16202.9935070002,6.69914055896957
16202.994225,6.33538900295565
16202.9949770002,3.38442157705007
16327.7014930001,19.8229259481697
16343.7037729998,4.72796810131476
16530.1163659999,-4.40502621650182
16532.1207409999,-3.08800479875579
16587.961875,-2.24964664416289
16613.905243,-5.0446594121661
16637.8106129998,3.82833625709535
16638.7869099998,8.4360323005157
16674.8042009999,7.0006607220196
16708.783727,-2.96496176547817
16884.1306250002,-5.76134238162037
16889.146042,5.80231371307301
16890.1462039999,4.80062655691365
16894.1388190002,-5.62867834744642
16896.1099769999,4.34489640238869
16911.0197689999,-8.82953260371438
16911.0203129998,-8.01577680725324
16911.0208680001,4.76163356957027
17234.1393519999,-0.561487710254723
17241.1373840002,-1.65479706558009
17241.1379169999,-4.57383974522425
17241.1384609998,0.102846738395802
17243.1432059999,2.64121385224685
17245.1453820001,-4.36802971563807
17246.1423960002,-6.1400454293443
17247.1466669999,-13.8029760302572
17254.1481710002,4.39042568840727
17255.1516320002,5.41580513051556
17256.1507870001,2.67742908073355
17291.0432870002,7.45225638256454
17326.9781129998,7.14255448840309
17353.8766899998,-11.0950725978344
17378.7861810001,3.4421987564882
17384.7780670002,13.7170553226033
17401.7489470001,16.9174023462923
17672.9905090001,8.94522841645599
17678.9750689999,-3.16235882713043
17703.9552199999,-4.45437674744695
17703.9557409999,-6.6625616474868
17703.9562960002,-4.37197022434104
17712.9878699998,-0.872155399678696
17789.7497220002,6.19090964806026
17790.7369329999,0.112815506643318
17803.7051499998,4.18416771908884
17804.7083450002,13.4109635017313
17806.793356,0.775386145981416
17828.7575929998,-0.497055509726094
17829.7219099998,-2.83334727811831
17830.7230210002,-1.91687801636987
18000.1515279999,2.61319960195378
18001.1496299999,10.0994544364652
18003.1490620002,-0.424279205025475
18029.934225,10.6915840509131
18065.898947,1.5755554107878
18091.904873,-6.76212668744239
