"data...1.","bfp_output.res"
12220.1056599999,22.8931826956095
12235.9666670002,10.6743133413293
12237.9032180002,18.5475536915392
12238.908171,38.2352514811646
12243.0026850002,6.63023484432506
12307.8585649999,-0.719610546113472
12334.8146870001,27.8375896452344
12536.1309139999,-14.9249898590951
12537.0906480001,-22.5035597221167
12538.048924,-5.53624679365021
12573.0651850002,11.7604375020446
12574.0020829998,1.48893669757672
12575.0051270002,17.2901247519076
12601.0029279999,96.3645459614199
12602.0445829998,64.3186287402068
12651.8701849999,15.7107599905048
12711.7517590001,-43.1389939576575
12712.8089470002,6.82397137572298
12925.044514,-20.9822579759011
13071.8259140002,-31.7874641820536
13303.018044,105.8330401788
13338.8544100001,-93.9308938667937
13340.104572,-72.7321673360502
13368.8945829999,-79.9163712017153
13747.010278,-111.568505318583
15111.0354980002,37.5327345178794
15440.1281369999,37.316369170745
15523.043414,-77.6706710627332
15994.8675230001,-148.476661233392
16165.1266089999,86.1583720690232
16585.1541550001,34.4660804278574
16588.0586689999,68.5298212963944
16639.9026270001,-116.546895751047
16909.1497450001,49.4355543495694
17291.1480089999,68.9885587885665
17294.147072,32.4962820862183
17652.1447220002,63.1714849083855
17765.862338,-103.092909686396
18029.1550810002,20.3076529957461
