"bfp_output.P","bfp_output.logBF"
1000,-0.74458884693676
993.109181374979,-0.625998637457552
986.265846131283,-0.562181487491766
979.46966706954,-0.55143836151954
972.720319245055,-0.587567947883609
966.017479952265,-0.66266041158148
959.360828709315,-0.770053847882461
952.75004724273,-0.906251114542822
946.184819472201,-1.07125217262814
939.66483149547,-1.2673584307097
933.189771573324,-1.49685380952284
926.759330114689,-1.75922561230295
920.373199661823,-2.04886582283428
914.031074875623,-2.35427244161969
907.732652521023,-2.65928790390383
901.477631452492,-2.94589878947472
895.26571259964,-3.19725562665574
889.096598952916,-3.39958159379627
882.969995549409,-3.54250253007965
876.885609458743,-3.61835492937946
870.843149769073,-3.62163948597516
864.842327573172,-3.54986182748324
858.882855954625,-3.40646419895684
852.964449974103,-3.20502032514254
847.086826655741,-2.97148277855335
841.249704973612,-2.7403230452699
835.452805838287,-2.54424516454388
829.695852083491,-2.40369064618839
823.978568452852,-2.32334360459792
818.300681586739,-2.29636368800193
812.661920009195,-2.31146916845774
807.06201411495,-2.35840485616374
801.500696156541,-2.43035147493431
795.977700231499,-2.52349274062463
790.492762269642,-2.6341382439548
785.045620020451,-2.75477542184701
779.636013040523,-2.87308449338728
774.263682681127,-2.97702487023535
768.928372075831,-3.06118233148005
763.629826128224,-3.12725118514957
758.367791499719,-3.1797994916812
753.142016597437,-3.22232426762336
747.952251562182,-3.25510448907307
742.798248256492,-3.27375044037707
737.679760252773,-3.26780512805758
732.596542821523,-3.22177727815078
727.548352919623,-3.12621182542436
722.534949178721,-3.00110062484809
717.556091893692,-2.89875911672571
712.611543011175,-2.85971582556179
707.701066118189,-2.88439241245517
702.824426430835,-2.95359888037306
697.981390783066,-3.05056888122955
693.17172761554,-3.16463133904697
688.39520696455,-3.28609285562022
683.651600451024,-3.39968114826156
678.940681269611,-3.48072847845652
674.262224177835,-3.49968035424022
669.616005485322,-3.43661632759794
665.001803043112,-3.29399448891807
660.419396233031,-3.0933250352091
655.868565957143,-2.86125142598528
651.349094627281,-2.62101380662777
646.860766154633,-2.39345481718878
642.40336593942,-2.2008090967124
637.976680860628,-2.06620775235201
633.580499265825,-2.00723943597576
629.214610961035,-2.02889619263181
624.878807200689,-2.12317835632593
620.57288067765,-2.27560019650972
616.296625513294,-2.47153442007957
612.04983724767,-2.69685849162802
607.832312829723,-2.93413343933023
603.643850607587,-3.15962928302157
599.484250318941,-3.34437895270581
595.353313081437,-3.45700623138084
591.250841383188,-3.46490486081678
587.176639073326,-3.33623906624127
583.130511352622,-3.05234896525537
579.112264764176,-2.63698748927224
575.121707184161,-2.1805075819454
571.158647812643,-1.80858316836487
567.222897164454,-1.60228794703248
563.314267060136,-1.56147648640025
559.432570616938,-1.64138005378431
555.577622239888,-1.79988523328869
551.749237612913,-2.0149957907506
547.947233690029,-2.27675537911805
544.171428686589,-2.56986127900775
540.421642070592,-2.86269114064917
536.697694554048,-3.10789682269701
532.999408084409,-3.24753318726557
529.326605836056,-3.22319948121789
525.679112201842,-3.00410643039065
522.056752784698,-2.62584399059183
518.459354389291,-2.19010172456792
514.886745013749,-1.80314190580891
511.338753841433,-1.51942780879993
507.815211232767,-1.34409444576054
504.315948717136,-1.2677593183378
500.840798984821,-1.29201451555177
500,-1.31448896598912
497.389595879006,-1.42914202771415
493.962174387832,-1.68508897786394
490.558370636505,-2.04987609497239
487.178021879463,-2.49789532468953
483.820966492595,-2.97777766000972
480.487043965513,-3.3946562574457
477.176094893875,-3.62766512614398
473.887960971765,-3.6062368275431
470.622484984128,-3.36481796875391
467.379510799247,-2.99951529904784
464.158883361278,-2.59689177222036
460.960448682844,-2.21331836757166
457.784053837662,-1.88824777304428
454.62954695324,-1.65169416010779
