"bfp_output.P","bfp_output.logBF"
1000,0.920139882920485
993.109181374979,1.19351681059202
986.265846131283,1.33409331216386
979.46966706954,1.35615526041041
972.720319245055,1.29064087595235
966.017479952265,1.1739107007886
959.360828709315,1.03650372088039
952.75004724273,0.895906719348024
946.184819472201,0.75432143701325
939.66483149547,0.600572918312356
933.189771573324,0.415073636763897
926.759330114689,0.176948028137038
920.373199661823,-0.128062013372168
914.031074875623,-0.501336053283874
907.732652521023,-0.929444797267716
901.477631452492,-1.38754107875679
895.26571259964,-1.84622026818085
889.096598952916,-2.27836999533148
882.969995549409,-2.66334466557286
876.885609458743,-2.98793272280163
870.843149769073,-3.24523459389799
864.842327573172,-3.43304437496728
858.882855954625,-3.55294403171565
852.964449974103,-3.61046127156073
847.086826655741,-3.61551104768979
841.249704973612,-3.58158082264647
835.452805838287,-3.52289479280041
829.695852083491,-3.45089382765071
823.978568452852,-3.3723665557077
818.300681586739,-3.29017112896686
812.661920009195,-3.20573115761585
807.06201411495,-3.1222228760523
801.500696156541,-3.04787593735541
795.977700231499,-2.99830258169255
790.492762269642,-2.99439408756286
785.045620020451,-3.05123652513846
779.636013040523,-3.16235230448454
774.263682681127,-3.29771836666076
768.928372075831,-3.42273340376716
763.629826128224,-3.51691109287058
758.367791499719,-3.57609226881747
753.142016597437,-3.60509319329371
747.952251562182,-3.6111007727387
742.798248256492,-3.60053408056857
737.679760252773,-3.57816464119766
732.596542821523,-3.54713626299324
727.548352919623,-3.50933317416409
722.534949178721,-3.46616548016776
717.556091893692,-3.41952624179869
712.611543011175,-3.37183769252307
707.701066118189,-3.32547429686998
702.824426430835,-3.28297378429924
697.981390783066,-3.24789756251298
693.17172761554,-3.22558694749351
688.39520696455,-3.22323675429431
683.651600451024,-3.24826110844027
678.940681269611,-3.30381009821211
674.262224177835,-3.38290257397348
669.616005485322,-3.46762304029734
665.001803043112,-3.53804461208098
660.419396233031,-3.5834063078643
655.868565957143,-3.60473469758683
651.349094627281,-3.60977288148267
646.860766154633,-3.60730551665973
642.40336593942,-3.60404680171326
637.976680860628,-3.6035652508737
633.580499265825,-3.60638047240614
629.214610961035,-3.61085566545627
624.878807200689,-3.61435381634639
620.57288067765,-3.61396225790237
616.296625513294,-3.60671093591871
612.04983724767,-3.58997586501617
607.832312829723,-3.56259627212016
603.643850607587,-3.52610061707004
599.484250318941,-3.48465188550504
595.353313081437,-3.44311583407831
591.250841383188,-3.40411644210517
587.176639073326,-3.36530174244954
583.130511352622,-3.31813960354794
579.112264764176,-3.25110732133184
575.121707184161,-3.1597202347098
571.158647812643,-3.05683339278009
567.222897164454,-2.97017174805479
563.314267060136,-2.92892039736237
559.432570616938,-2.9528238981364
555.577622239888,-3.04527906653986
551.749237612913,-3.18528456217522
547.947233690029,-3.32496033198121
544.171428686589,-3.40700079838698
540.421642070592,-3.39640122552491
536.697694554048,-3.29861237878189
532.999408084409,-3.15362574645088
529.326605836056,-3.01887348428358
525.679112201842,-2.94518644226171
522.056752784698,-2.9451289536589
518.459354389291,-2.97961457128347
514.886745013749,-2.98673461920439
511.338753841433,-2.92287756722579
507.815211232767,-2.78171612588666
504.315948717136,-2.59768007800947
500.840798984821,-2.43931599273774
500,-2.41322062393665
497.389595879006,-2.37523429178729
493.962174387832,-2.42541079958674
490.558370636505,-2.55532540804897
487.178021879463,-2.71637459832582
483.820966492595,-2.87767986468584
480.487043965513,-3.02930367832992
477.176094893875,-3.1717809086371
473.887960971765,-3.30568777437632
470.622484984128,-3.42781590786499
467.379510799247,-3.53187625478197
464.158883361278,-3.60745633451934
460.960448682844,-3.63862228697586
457.784053837662,-3.60952187802418
454.62954695324,-3.5169454279751
451.49677720361,-3.37523371524407
448.385594802119,-3.20512167680401
445.295850994266,-3.02113383578723
442.22739805059,-2.83049370288422
439.180089259609,-2.6391545545453
436.153778920801,-2.45623713326166
433.14832233764,-2.29616368237664
430.16357581068,-2.18376007280447
427.199396630678,-2.15672933182001
424.255643071778,-2.25093264837691
421.332174384729,-2.47486523916016
418.428850790158,-2.80120952232307
415.545533471888,-3.17654020878357
412.682084570296,-3.51331982238157
409.838367175726,-3.66341379269435
407.014245321944,-3.48922991779575
404.209583979631,-3.06308801260003
401.424249049932,-2.6115861017307
398.658107358044,-2.25632066878442
395.911026646846,-1.99143194356075
393.182875570577,-1.7735713557074
390.473523688556,-1.55724581883434
387.782841458946,-1.29115650785159
385.110700232557,-0.914007330864744
382.4569722467,-0.366282776856433
379.821530619074,0.316340608415676
377.2042493417,0.74216506561486
374.605003274899,0.35962001119852
372.023668141307,-0.548620200266366
369.46012051993,-1.43362208865347
366.914237840249,-2.17747702724041
364.385898376355,-2.60846120897427
361.874981241128,-2.1686871101924
359.381366380463,-0.918672973801317
356.904934567523,0.298990910959692
354.445567397043,0.908690444826324
352.003147279668,0.457527808530775
349.577557436327,-0.896295343063694
347.168681892656,-1.91643629920814
344.776405473446,-2.03209438751007
342.400613797142,-1.80540244338321
340.041193270371,-1.82624235608032
337.698031082509,-2.09920326499339
335.371015200293,-2.10630119957456
333.333333333333,-1.57087069222551
333.060034362459,-1.46055047991531
330.764978074424,-0.346109075172971
328.485736603004,0.465973134386037
326.222200971167,0.0405807550453874
323.97426295282,-1.35404788604852
321.741815067637,-2.42141031912343
319.524750575921,-2.53833861733933
317.322963473498,-1.64873985879826
315.136348486648,0.0579150149200602
312.964801067075,1.75135943572405
310.808217386907,2.30697363827314
308.666494333727,1.44819044876285
306.539529505653,-0.245100904185288
304.42722120643,-1.86594594699643
302.329468440578,-2.60392122527592
300.246170908555,-2.02206506413061
298.177229001967,-0.254912219777036
296.122543798804,1.74223677665573
294.082017058706,2.95232183912289
292.055551218275,3.24207620332833
290.043049386399,2.6037100292618
288.04441533963,0.953414525885013
286.059553517574,-0.944668263339092
284.08836901833,-1.6329753621368
282.130767593947,-0.343805709824703
280.18665564592,1.80943245348356
278.255940220713,3.04889016371665
276.338529005317,2.58796456940742
274.434330322837,0.72710786332711
272.543253128103,-1.51997407619749
270.665207003324,-2.8169101206932
268.800102153761,-2.29917676461896
266.947849403432,-0.296180096167414
265.108360190854,2.04914589405521
263.281546564802,3.41992255756494
261.467321180109,2.72638949020213
259.665597293487,-0.0617773202675478
257.87628875938,-2.72112411367489
256.099310025846,-3.59353975452278
254.334576130465,-3.23269932858561
252.582002696278,-2.13127489634983
250.841505927754,-0.790946448000237
250,-0.317484898140928
249.113002606779,-0.0896826247602389
247.396410088681,-0.859657384663005
245.691646298279,-2.36786086599705
243.998629725955,-2.86694680217631
242.31727942376,-2.93938654762671
240.647515001542,-3.22873440039249
238.989256623105,-3.52201778881477
237.342425002387,-3.60943797046549
235.706941399673,-3.32289043325893
234.082727617829,-2.96522113674477
232.469705998565,-3.08678885251048
230.867799418717,-3.44094041979032
229.276931286565,-3.64852913041228
227.697025538168,-3.00668602296657
226.128006633728,-0.977204676307802
224.569799553977,1.2721216848061
223.022329796594,1.88017625162756
221.485523372636,1.14906128129774
219.959306803008,-0.684516280670645
218.443607114943,-2.97819955126782
216.938351838519,-3.47892455489405
215.443469003188,-2.0059266114472
213.958887134342,-0.524342065459773
212.484535249888,0.101936171865465
211.02034285686,-0.51865899916849
209.566239948043,-1.94655403664286
208.122156998634,-3.00860004884292
206.688024962908,-3.37401734754051
205.263775270925,-3.29529483539538
203.849339825246,-3.24848750891656
202.44465099768,-3.47246800012452
201.04964162605,-3.64921720863783
200,-3.6565136581559
199.664245010979,-3.64442977318997
198.288394912707,-3.54807462136575
196.922025547917,-3.49122958203123
195.565071586595,-3.50087792150604
194.217468148903,-3.38027282869045
192.879150802078,-3.3850162955555
191.550055557353,-3.5775480407356
190.230118866895,-3.65402834209452
188.919277620767,-3.41410369015254
187.617469143912,-2.52122247761211
186.324631193156,-1.90098857956253
185.04070195423,-2.60350585341954
183.765620038817,-3.26221620321372
182.499324481615,-3.60919433528526
181.241754737424,-3.53282236281428
179.992850678248,-2.9623816766251
178.752552590424,-2.43584777219793
177.520801171764,-2.5937321628685
176.297537528721,-3.36669497085439
175.082703173572,-3.64766018048469
173.876240021625,-2.93859922400612
172.678090388436,-1.77123942312481
171.488196987054,-1.96144028795176
170.306502925284,-3.01111409873756
169.132951702965,-3.53726257203779
167.967487209265,-2.66345851930081
166.810053720006,-0.896486118008208
166.666666666667,-0.771420936939943
165.660595894991,-0.850899284454793
164.519058775366,-1.77241381784982
163.385387780986,-1.39804425016039
162.259528707809,-0.369133270191791
161.141427725302,-1.87648419217315
160.03103137387,-3.12904853631222
158.928286562298,-2.4110184417161
157.833140565212,-0.513016748965252
156.745541020559,0.248797609863819
155.665435927106,-2.16103125989325
154.592773641948,-3.4340739566653
153.527502878042,-2.28248299849012
152.469572701757,-1.33714415060994
151.418932530435,-2.39880220797114
150.375532129974,-3.54602361018915
149.339321612425,-2.66925884572991
148.310251433611,-2.47160034621573
147.28827239075,-3.27862176637644
146.273335620113,-3.54235193575506
145.265392594678,-2.86294365210601
144.264395121816,-2.96454588149698
143.270295340983,-2.78797559499965
