jd	rv	rverr
1.511097565999999642e+04	2.464657888370667206e+04	1.490399599075317383e+00
1.517190372700011358e+04	2.463999860161906690e+04	1.266439795494079590e+00
1.518878474499983713e+04	2.466052353246737039e+04	1.367839336395263672e+00
1.523175903900014237e+04	2.463502125043701380e+04	1.202792286872863770e+00
1.525570994199998677e+04	2.465316164804709842e+04	1.170622110366821289e+00
1.525571056699985638e+04	2.465870905400183983e+04	1.247802138328552246e+00
1.526071454899990931e+04	2.465078903294686461e+04	1.224039673805236816e+00
1.526172056700009853e+04	2.465495261684336583e+04	1.685455679893493652e+00
1.542614420100022107e+04	2.462749739771837267e+04	1.009917497634887695e+00
1.542714747700002044e+04	2.462553666288801469e+04	1.020259380340576172e+00
1.543414679400017485e+04	2.464615739770830987e+04	9.332732558250427246e-01
1.543514571799989790e+04	2.464681500092547503e+04	9.435832500457763672e-01
1.543614393500005826e+04	2.463253005266775654e+04	1.060471415519714355e+00
1.543714855299983174e+04	2.463322097924178888e+04	1.128857970237731934e+00
1.543815013899980113e+04	2.462987341659406593e+04	8.997765779495239258e-01
1.543914763899985701e+04	2.462456881515313944e+04	9.675754308700561523e-01
1.543914815999986604e+04	2.462479205071798060e+04	8.626837134361267090e-01
1.543914869200019166e+04	2.462833003884887876e+04	1.008027434349060059e+00
1.544015012700017542e+04	2.461849330969835864e+04	1.061354994773864746e+00
1.544114849499985576e+04	2.462085783754110525e+04	9.854001402854919434e-01
1.545601335600018501e+04	2.464693902281853661e+04	1.208599805831909180e+00
1.546507043999992311e+04	2.463715981488724356e+04	1.115546941757202148e+00
1.546912459499994293e+04	2.464469918221649277e+04	1.094565510749816895e+00
1.548699949100008234e+04	2.463387774769550742e+04	1.272257685661315918e+00
1.550098187500005588e+04	2.464112532257358544e+04	1.098295331001281738e+00
1.552188820599997416e+04	2.462182753043173579e+04	1.077760577201843262e+00
1.554294697900023311e+04	2.463185533462362946e+04	1.246980309486389160e+00
