jd	rv	rverr
1.511097565999999642e+04	2.464835008080724947e+04	1.375965952873229980e+00
1.517190372700011358e+04	2.464543434444497689e+04	1.229512333869934082e+00
1.518878474499983713e+04	2.466602035105536925e+04	1.159978866577148438e+00
1.523175903900014237e+04	2.463975898455333663e+04	1.103598713874816895e+00
1.525570994199998677e+04	2.465714902280061506e+04	1.092691779136657715e+00
1.525571056699985638e+04	2.466074200436851243e+04	1.122091531753540039e+00
1.526071454899990931e+04	2.466273370698967483e+04	1.167847990989685059e+00
1.526172056700009853e+04	2.465495261684336583e+04	1.467718362808227539e+00
1.542614420100022107e+04	2.463098226073291880e+04	9.618307948112487793e-01
1.542714747700002044e+04	2.463486162299265561e+04	9.350248575210571289e-01
1.543414679400017485e+04	2.465238992020281148e+04	8.357375860214233398e-01
1.543514571799989790e+04	2.465371155192040897e+04	9.015943408012390137e-01
1.543614393500005826e+04	2.464589119360365294e+04	9.587857127189636230e-01
1.543714855299983174e+04	2.465212012741439321e+04	1.014422893524169922e+00
1.543815013899980113e+04	2.463944935564823390e+04	8.514220714569091797e-01
1.543914763899985701e+04	2.463835762701379281e+04	8.977535367012023926e-01
1.543914815999986604e+04	2.463367571543587110e+04	8.266348838806152344e-01
1.543914869200019166e+04	2.463826939061633675e+04	9.155715107917785645e-01
1.544015012700017542e+04	2.462971955964012523e+04	9.247451424598693848e-01
1.544114849499985576e+04	2.463055937470786739e+04	9.196637272834777832e-01
1.545601335600018501e+04	2.465017985544437761e+04	1.068205356597900391e+00
1.546507043999992311e+04	2.464420588561894328e+04	9.701178669929504395e-01
1.546912459499994293e+04	2.465031433509353883e+04	9.698348641395568848e-01
1.548699949100008234e+04	2.463570020481069514e+04	1.177920341491699219e+00
1.550098187500005588e+04	2.464489020705092116e+04	9.795643687248229980e-01
1.552188820599997416e+04	2.462527176715810492e+04	1.051944971084594727e+00
1.554294697900023311e+04	2.463895321068924386e+04	1.141628026962280273e+00
1.561370483799977228e+04	2.466599258407991147e+04	1.040967583656311035e+00
1.579113829899998382e+04	2.465875849047541124e+04	8.780360221862792969e-01
1.579213400499988347e+04	2.463611517646039283e+04	1.003526687622070312e+00
1.579313785899989307e+04	2.463577473276186356e+04	8.850691914558410645e-01
1.579513964099995792e+04	2.463649259813616663e+04	9.231917858123779297e-01
1.579713722199993208e+04	2.464348057076758050e+04	7.741488218307495117e-01
1.579814080999977887e+04	2.464670366979253231e+04	8.504596948623657227e-01
