jd	rv	rverr
1.779073693299992010e+04	2.464065402122942032e+04	1.116185188293457031e+00
1.780370514999981970e+04	2.464645766405476024e+04	1.209397554397583008e+00
1.780470834500016645e+04	2.465330150245406548e+04	1.241264700889587402e+00
1.780679335599998012e+04	2.463905534196208464e+04	1.199232935905456543e+00
1.782875759299984202e+04	2.463459445857093669e+04	1.224926829338073730e+00
1.782972190999984741e+04	2.462825317052501487e+04	1.134951829910278320e+00
1.783072302100015804e+04	2.463808494451135630e+04	1.297371149063110352e+00
1.800015152799990028e+04	2.463947490647679297e+04	8.690443634986877441e-01
1.800114962999988347e+04	2.464684959575678658e+04	9.751611351966857910e-01
1.800314906200021505e+04	2.463805362681592669e+04	8.883098363876342773e-01
1.802993422499997541e+04	2.464613450774734883e+04	1.099104642868041992e+00
1.806589894700003788e+04	2.464090516458431375e+04	1.340774297714233398e+00
1.809190487299999222e+04	2.463374211846887192e+04	1.322397232055664062e+00
