jd	rv	rverr
1.222010565999988467e+04	5.964761219151972909e+03	2.597725868225097656e+00
1.223596666700020432e+04	5.960274378929512750e+03	2.663611173629760742e+00
1.223790321800019592e+04	5.957314922617086268e+03	2.314007520675659180e+00
1.223890817099995911e+04	5.972714660342971911e+03	2.588323116302490234e+00
1.224300268500018865e+04	5.959940770833411079e+03	2.734984874725341797e+00
1.230785856499988586e+04	6.076684486819387530e+03	2.786815166473388672e+00
1.233481468700012192e+04	6.147100092128210235e+03	2.715869188308715820e+00
1.253613091399986297e+04	5.970177485446532955e+03	2.430494070053100586e+00
1.253709064800012857e+04	5.977860876927516074e+03	2.649000644683837891e+00
1.253804892400000244e+04	5.990858482326191734e+03	2.508203506469726562e+00
1.257306518500018865e+04	6.082881219789196621e+03	2.439741373062133789e+00
1.257400208299979568e+04	6.079939021876387415e+03	2.250703096389770508e+00
1.257500512700015679e+04	6.104817914228566224e+03	2.371081352233886719e+00
1.260100292799994349e+04	6.214825706923376856e+03	2.725526571273803711e+00
1.260204458299977705e+04	6.179600037283060374e+03	2.116088390350341797e+00
1.265187018499989063e+04	6.139351972317905165e+03	2.166513442993164062e+00
1.271175175900012255e+04	5.972863898093884927e+03	3.075355529785156250e+00
1.271280894700018689e+04	6.002424030379785108e+03	2.984643459320068359e+00
1.292504451399995014e+04	6.093042925061206915e+03	2.338938713073730469e+00
1.307182591400016099e+04	5.989717662664130330e+03	2.419149160385131836e+00
1.330301804400002584e+04	6.098640659806049371e+03	2.691883563995361328e+00
1.333885441000014544e+04	5.911054462545624119e+03	2.762274503707885742e+00
1.334010457199998200e+04	5.946493215321677781e+03	3.002102136611938477e+00
1.336889458299987018e+04	6.015303674325812608e+03	3.245240926742553711e+00
1.374701027800003067e+04	5.968088436374317098e+03	2.863428115844726562e+00
1.511103549800021574e+04	6.052592036384929088e+03	4.249814987182617188e+00
1.544012813699990511e+04	6.076975411048377282e+03	2.605366945266723633e+00
1.552304341399995610e+04	6.108836324624367990e+03	3.470699310302734375e+00
1.599486752300010994e+04	5.936633671418501763e+03	4.641660213470458984e+00
1.616512660899991170e+04	6.128120130362833152e+03	2.903693914413452148e+00
1.658515415500011295e+04	6.256838451803530916e+03	2.932276964187622070e+00
1.658805866899993271e+04	6.297242351651511854e+03	2.784598112106323242e+00
1.663990262700011954e+04	6.046283362042528097e+03	3.287050247192382812e+00
1.690914974500006065e+04	6.222114228923368501e+03	2.943757772445678711e+00
1.729114800899988040e+04	6.125409541154091130e+03	3.011864185333251953e+00
1.729414707199996337e+04	6.098463190971597214e+03	2.749859094619750977e+00
1.765214472200023010e+04	6.294806033041459159e+03	3.004734277725219727e+00
1.776586233799997717e+04	5.936065939107946178e+03	2.976975917816162109e+00
1.802915508100017905e+04	6.094479580819563125e+03	3.546133995056152344e+00
